id,first_name,last_name,phone_number,email,street_address,city,state,zip
1,Tadd,Williams,5555555555,tadd@example.com,123 Main Street,New York City,New York,10001
2,Gregorio,Walsh,8953642320,gregorio@example.com,1950 Rice Brooks,Keeganmouth,Oregon,24020
3,Antoinette,Kling,8138519488,antoinette@example.com,9730 Kyle Garden,Kovacekport,Texas,60115
4,Eula,Oberbrunner,4000112819,eula@example.com,15448 Amina Drives,Johnstonmouth,Maine,49369
5,Alden,Gutmann,6720059891,alden@example.com,765 Schimmel Hill,Bechtelarhaven,Colorado,27634
6,Gregoria,Grady,1315891590,gregoria@example.com,55757 Green Circles,North Coltenfort,Montana,27989
7,Mia,Nolan,3039445943,mia@example.com,2180 White Forks,Lake Xander,Nevada,26345
8,Emmanuel,Gleason,3202411656,emmanuel@example.com,5398 Alicia Summit,North Petramouth,Missouri,39854
9,Esperanza,Hayes,4591926081,esperanza@example.com,336 Purdy Dam,Schultzchester,Florida,43628
10,Kade,McClure,8694034011,kade@example.com,1919 Vance Grove,Blicktown,Maryland,95642
